N	Z	A	El	Mass Excess	Binding Energy	Decay Channel
118	80	198	Hg	-30954.31	7911.552	Stable
117	81	198	Tl	-27528.746	7890.3	Bplus
116	82	198	Pb	-26067.489	7878.969	Bplus
115	83	198	Bi	-19369.486	7841.189	Bplus
114	84	198	Po	-15473.352	7817.561	alpha
113	85	198	At	-6714.513	7769.373	alpha
112	86	198	Rn	-1230.358	7737.724	Bplus
111	87	198	Fr	9574.024	7679.205	Bplus
124	75	199	Re	-14860	7851	Bminus
123	76	199	Os	-20484	7875	Bminus
122	77	199	Ir	-24398.515	7891.206	Bminus
121	78	199	Pt	-27388.682	7902.3	Bminus
120	79	199	Au	-29093.741	7906.937	Bminus
119	80	199	Hg	-29546.068	7905.279	Stable
118	81	199	Tl	-28059.394	7893.877	Bplus
117	82	199	Pb	-25231.804	7875.736	Bplus
116	83	199	Bi	-20797.566	7849.522	Bplus
115	84	199	Po	-15208.483	7817.505	Bplus
114	85	199	At	-8823.372	7781.488	alpha
113	86	199	Rn	-1499.451	7740.753	alpha
112	87	199	Fr	6771.393	7695.259	alpha
124	76	200	Os	-18779	7868	Bminus
123	77	200	Ir	-21611	7878	Bminus
122	78	200	Pt	-26599.16	7899.198	Bminus
121	79	200	Au	-27240.092	7898.491	Bminus
120	80	200	Hg	-29503.27	7905.895	Stable
119	81	200	Tl	-27047.23	7889.703	Bplus
118	82	200	Pb	-26251.054	7881.81	Bplus
117	83	200	Bi	-20370.755	7848.497	Bplus
116	84	200	Po	-16941.761	7827.44	Bplus
115	85	200	At	-8987.892	7783.759	alpha
114	86	200	Rn	-4004.765	7754.932	alpha
113	87	200	Fr	6132.498	7700.334	alpha
125	76	201	Os	-15239	7851	Bminus
124	77	201	Ir	-19897	7871	Bminus
123	78	201	Pt	-23740.714	7885.833	Bminus
122	79	201	Au	-26400.714	7895.175	Bminus
121	80	201	Hg	-27662.542	7897.56	Stable
120	81	201	Tl	-27180.838	7891.271	Bplus
119	82	201	Pb	-25271.036	7877.877	Bplus
118	83	201	Bi	-21416.433	7854.808	Bplus
117	84	201	Po	-16521.185	7826.561	Bplus
116	85	201	At	-10789.438	7794.153	alpha
115	86	201	Rn	-4072.324	7756.842	Bplus
114	87	201	Fr	3588.577	7714.836	alpha
113	88	201	Ra	11936.801	7669.41	alpha
126	76	202	Os	-13087	7842	Bminus
125	77	202	Ir	-16776	7856	Bminus
124	78	202	Pt	-22692.125	7881.56	Bminus
123	79	202	Au	-24352.979	7885.909	Bminus
122	80	202	Hg	-27345.324	7896.85	Stable
121	81	202	Tl	-25980.216	7886.219	Bplus
120	82	202	Pb	-25940.614	7882.15	Bplus
119	83	202	Bi	-20741.484	7852.539	Bplus
118	84	202	Po	-17941.616	7834.805	Bplus
117	85	202	At	-10590.732	7794.541	Bplus
116	86	202	Rn	-6274.635	7769.301	alpha
115	87	202	Fr	3096.237	7719.038	alpha
114	88	202	Ra	9074.861	7685.568	alpha
127	76	203	Os	-7640	7816	Bminus
126	77	203	Ir	-14690	7847	Bminus
125	78	203	Pt	-19627	7867	Bminus
124	79	203	Au	-23143.436	7880.864	Bminus
123	80	203	Hg	-25269.265	7887.482	Bminus
122	81	203	Tl	-25761.377	7886.053	Stable
121	82	203	Pb	-24786.557	7877.397	Bplus
120	83	203	Bi	-21524.827	7857.475	Bplus
119	84	203	Po	-17310.889	7832.863	Bplus
118	85	203	At	-12162.557	7803.648	Bplus
117	86	203	Rn	-6153.699	7770.193	alpha
116	87	203	Fr	876.417	7731.708	alpha
115	88	203	Ra	8661.726	7689.503	alpha
127	77	204	Ir	-9688	7824	Bminus
126	78	204	Pt	-17922	7860	Bminus
125	79	204	Au	-20650	7870	Bminus
124	80	204	Hg	-24690.145	7885.545	Stable
123	81	204	Tl	-24346.145	7880.023	Bminus
122	82	204	Pb	-25109.892	7879.932	Stable
121	83	204	Bi	-20645.896	7854.215	Bplus
120	84	204	Po	-18341.244	7839.083	Bplus
119	85	204	At	-11875.433	7803.552	Bplus
118	86	204	Rn	-7970.193	7780.574	alpha
117	87	204	Fr	607.31	7734.692	alpha
116	88	204	Ra	6056.787	7704.144	alpha
128	77	205	Ir	-5960	7807	Bminus
127	78	205	Pt	-12966	7837	Bminus
126	79	205	Au	-18770	7861	Bminus
125	80	205	Hg	-22287.74	7874.732	Bminus
124	81	205	Tl	-23820.874	7878.394	Stable
123	82	205	Pb	-23770.239	7874.331	Bplus
122	83	205	Bi	-21064.504	7857.316	Bplus
121	84	205	Po	-17521.398	7836.216	Bplus
120	85	205	At	-12971.946	7810.207	Bplus
119	86	205	Rn	-7709.786	7780.722	Bplus
118	87	205	Fr	-1309.813	7745.686	alpha
117	88	205	Ra	5838.991	7706.998	alpha
116	89	205	Ac	14106.693	7662.851	alpha
128	78	206	Pt	-9632	7822	Bminus
127	79	206	Au	-14215	7840	Bminus
126	80	206	Hg	-20945.801	7869.172	Bminus
125	81	206	Tl	-22253.367	7871.721	Bminus
124	82	206	Pb	-23785.584	7875.362	Stable
123	83	206	Bi	-20028.278	7853.324	Bplus
122	84	206	Po	-18188.674	7840.597	Bplus
121	85	206	At	-12429.718	7808.843	Bplus
120	86	206	Rn	-9132.965	7789.041	alpha
119	87	206	Fr	-1242.416	7746.94	alpha
118	88	206	Ra	3565.539	7719.802	alpha
117	89	206	Ac	13479.452	7667.879	alpha
129	78	207	Pt	-4540	7798	Bminus
128	79	207	Au	-10810	7825	Bminus
127	80	207	Hg	-16487.444	7848.61	Bminus
126	81	207	Tl	-21034.451	7866.797	Bminus
125	82	207	Pb	-22452.047	7869.866	Stable
124	83	207	Bi	-20054.627	7854.505	Bplus
123	84	207	Po	-17145.775	7836.673	Bplus
122	85	207	At	-13227.416	7813.964	Bplus
121	86	207	Rn	-8634.762	7787.998	Bplus
120	87	207	Fr	-2844.341	7756.246	Bplus
119	88	207	Ra	3544.485	7721.602	alpha
118	89	207	Ac	11146.233	7681.099	alpha
130	78	208	Pt	-990	7783	Bminus
129	79	208	Au	-6101	7804	Bminus
128	80	208	Hg	-13265.406	7834.191	Bminus
127	81	208	Tl	-16750.132	7847.183	Bminus
126	82	208	Pb	-21748.598	7867.453	Stable
125	83	208	Bi	-18870.223	7849.853	Bplus
124	84	208	Po	-17469.596	7839.358	alpha
123	85	208	At	-12469.871	7811.56	Bplus
122	86	208	Rn	-9655.591	7794.268	alpha
121	87	208	Fr	-2665.919	7756.903	alpha
120	88	208	Ra	1727.856	7732.017	alpha
