N	Z	A	El	Mass Excess	Binding Energy	Decay Channel
146	89	235	Ac	47357.155	7573.504	Bminus
145	90	235	Th	44017.749	7584.385	Bminus
144	91	235	Pa	42288.896	7588.413	Bminus
143	92	235	U 	40918.846	7590.914	Stable
142	93	235	Np	41043.108	7587.056	Bplus
141	94	235	Pu	42182.41	7578.879	Bplus
140	95	235	Am	44625.429	7565.154	Bplus
139	96	235	Cm	48034	7547	Bplus
138	97	235	Bk	52704	7524	alpha
147	89	236	Ac	51220.992	7559.242	Bminus
146	90	236	Th	46255.198	7576.968	Bminus
145	91	236	Pa	45333.95	7577.557	Bminus
144	92	236	U 	42444.644	7586.484	alpha
143	93	236	Np	43378.178	7579.214	Bminus
142	94	236	Pu	42901.593	7577.918	alpha
141	95	236	Am	46041	7561	alpha
140	96	236	Cm	47855.045	7550.299	alpha
139	97	236	Bk	53542	7523	x
148	89	237	Ac	54020	7550	Bminus
147	90	237	Th	49955.092	7563.443	Bminus
146	91	237	Pa	47527.619	7570.384	Bminus
145	92	237	U 	45390.194	7576.102	Bminus
144	93	237	Np	44871.659	7574.989	alpha
143	94	237	Pu	45091.722	7570.759	Bplus
142	95	237	Am	46570	7561	Bplus
141	96	237	Cm	49247.085	7546.624	Bplus
140	97	237	Bk	53188	7527	alpha
139	98	237	Cf	57938.921	7503.347	SF
148	90	238	Th	52525	7555	Bminus
147	91	238	Pa	50894.038	7558.344	Bminus
146	92	238	U 	47307.783	7570.125	Stable
145	93	238	Np	47454.656	7566.221	Bminus
144	94	238	Pu	46163.213	7568.36	alpha
143	95	238	Am	48421.487	7555.584	Bplus
142	96	238	Cm	49445.188	7547.996	Bplus
141	97	238	Bk	54216	7525	Bplus
140	98	238	Cf	57278	7509	SF
149	90	239	Th	56450	7541	Bminus
148	91	239	Pa	53337	7550	Bminus
147	92	239	U 	50572.718	7558.561	Bminus
146	93	239	Np	49311.057	7560.567	Bminus
145	94	239	Pu	48588.282	7560.318	alpha
144	95	239	Am	49390.424	7553.688	Bplus
143	96	239	Cm	51147.025	7543.065	Bplus
142	97	239	Bk	54250	7527	Bplus
141	98	239	Cf	58269	7507	alpha
140	99	239	Es	63556	7481	Bplus
149	91	240	Pa	56910	7538	Bminus
148	92	240	U 	52715.505	7551.77	Bminus
147	93	240	Np	52316.272	7550.173	Bminus
146	94	240	Pu	50125.38	7556.042	alpha
145	95	240	Am	51510.169	7547.013	Bplus
144	96	240	Cm	51724.306	7542.861	alpha
143	97	240	Bk	55664	7523	Bplus
142	98	240	Cf	57990.944	7510.23	alpha
141	99	240	Es	64199	7481	Bplus
150	91	241	Pa	59640	7528	Bminus
149	92	241	U 	56197	7539	Bminus
148	93	241	Np	54260.175	7544.27	Bminus
147	94	241	Pu	52955.175	7546.439	Bminus
146	95	241	Am	52934.395	7543.278	alpha
145	96	241	Cm	53701.83	7536.848	Bplus
144	97	241	Bk	56032	7524	Bplus
143	98	241	Cf	59327	7507	Bplus
142	99	241	Es	63863	7485	alpha
141	100	241	Fm	69126	7460	SF
150	92	242	U 	58620	7532	Bminus
149	93	242	Np	57416.932	7533.403	Bminus
148	94	242	Pu	54716.932	7541.327	Bminus
147	95	242	Am	55468.072	7534.991	Bminus
146	96	242	Cm	54803.764	7534.503	alpha
145	97	242	Bk	57734	7519	Bplus
144	98	242	Cf	59386.966	7509.098	alpha
143	99	242	Es	64801	7483	alpha
142	100	242	Fm	68400	7465	SF
151	92	243	U 	62360	7518	x
150	93	243	Np	59876	7525	Bminus
149	94	243	Pu	57754.602	7531.008	alpha
148	95	243	Am	57175.046	7530.173	alpha
147	96	243	Cm	57181.998	7526.925	Bplus
146	97	243	Bk	58689.693	7517.501	Bplus
145	98	243	Cf	60990	7505	Bplus
144	99	243	Es	64747	7486	alpha
143	100	243	Fm	69387	7464	alpha
151	93	244	Np	63202	7514	Bminus
150	94	244	Pu	59806.028	7524.815	alpha
149	95	244	Am	59879.196	7521.308	Bminus
148	96	244	Cm	58451.896	7523.952	alpha
147	97	244	Bk	60713.885	7511.475	Bplus
146	98	244	Cf	61478.179	7505.136	Bplus
145	99	244	Es	66026	7483	Bplus
144	100	244	Fm	68966	7468	SF
152	93	245	Np	65890	7505	x
151	94	245	Pu	63178.179	7513.281	Bminus
150	95	245	Am	61900.469	7515.303	Bminus
149	96	245	Cm	61004.58	7515.767	Bplus
148	97	245	Bk	61813.836	7509.27	Bplus
147	98	245	Cf	63385.21	7499.663	Bplus
146	99	245	Es	66366	7484	Bplus
145	100	245	Fm	70187	7466	alpha
144	101	245	Md	75272	7442	Bplus
152	94	246	Pu	65394.801	7506.539	Bminus
151	95	246	Am	64994	7505	Bminus
150	96	246	Cm	62616.967	7511.471	alpha
149	97	246	Bk	63966.967	7502.803	Bplus
148	98	246	Cf	64090.292	7499.121	Bplus
147	99	246	Es	67901	7480	Bplus
146	100	246	Fm	70188.833	7467.97	alpha
145	101	246	Md	76115	7441	alpha
153	94	247	Pu	69108	7494	Bminus
152	95	247	Am	67153	7499	Bminus
151	96	247	Cm	65533.143	7501.931	Bplus
150	97	247	Bk	65489.562	7498.94	alpha
149	98	247	Cf	66103.903	7493.285	Bplus
148	99	247	Es	68578.388	7480.1	Bplus
147	100	247	Fm	71673	7464	alpha
146	101	247	Md	75937	7444	alpha
153	95	248	Am	70563	7487	Bminus
152	96	248	Cm	67392.755	7496.728	alpha
151	97	248	Bk	68080	7491	alpha
150	98	248	Cf	67238.012	7491.043	alpha
149	99	248	Es	70299	7476	Bplus
148	100	248	Fm	71897.857	7465.944	alpha
147	101	248	Md	77148	7442	alpha
146	102	248	No	80621	7424	SF
154	95	249	Am	73104	7479	Bminus
153	96	249	Cm	70750.702	7485.55	Bminus
152	97	249	Bk	69846.384	7486.04	Bminus
151	98	249	Cf	69722.784	7483.394	alpha
150	99	249	Es	71175	7474	Bplus
149	100	249	Fm	73519.188	7461.864	Bplus
148	101	249	Md	77232	7444	alpha
147	102	249	No	81782	7422	x
154	96	250	Cm	72989.594	7478.938	SF
153	97	250	Bk	72949.978	7475.967	Bminus
152	98	250	Cf	71170.391	7479.956	alpha
151	99	250	Es	73225	7469	Bplus
150	100	250	Fm	74072.243	7462.09	alpha
149	101	250	Md	78630	7441	Bplus
148	102	250	No	81564	7426	SF
155	96	251	Cm	76648.018	7466.722	Bminus
154	97	251	Bk	75228.018	7469.263	Bminus
153	98	251	Cf	74135.018	7470.5	alpha
152	99	251	Es	74512.277	7465.881	Bplus
151	100	251	Fm	75953.919	7457.02	Bplus
150	101	251	Md	78966.744	7441.9	Bplus
149	102	251	No	82849	7423	alpha
148	103	251	Lr	87728	7401	alpha
156	96	252	Cm	79056	7460	x
155	97	252	Bk	78535	7459	x
154	98	252	Cf	76034.617	7465.347	alpha
153	99	252	Es	77294.617	7457.242	alpha
152	100	252	Fm	76815.627	7456.038	alpha
151	101	252	Md	80510	7438	Bplus
150	102	252	No	82871.427	7425.798	alpha
149	103	252	Lr	88737	7399	alpha
156	97	253	Bk	80929	7451	Bminus
155	98	253	Cf	79301.567	7454.829	Bminus
154	99	253	Es	79010.538	7452.887	alpha
153	100	253	Fm	79345.74	7448.47	Bplus
152	101	253	Md	81173	7438	Bplus
151	102	253	No	84358.735	7422.471	alpha
150	103	253	Lr	88575	7403	alpha
149	104	253	Rf	93557	7380	SF
157	97	254	Bk	84393	7440	x
156	98	254	Cf	81341.401	7449.225	SF
155	99	254	Es	81990.594	7443.589	alpha
154	100	254	Fm	80902.794	7444.792	alpha
153	101	254	Md	83453	7432	Bplus
152	102	254	No	84723.347	7423.59	alpha
151	103	254	Lr	89871	7400	alpha
150	104	254	Rf	93199	7384	SF
157	98	255	Cf	84809	7438	Bminus
156	99	255	Es	84089.274	7437.821	Bminus
155	100	255	Fm	83799.654	7435.888	alpha
154	101	255	Md	84843.07	7428.729	Bplus
153	102	255	No	86807.234	7417.958	Bplus
152	103	255	Lr	89947.3	7402.576	alpha
151	104	255	Rf	94330	7382	SF
150	105	255	Db	99593	7359	Bplus
158	98	256	Cf	87041	7432	Bminus
157	99	256	Es	87187	7428	Bminus
156	100	256	Fm	85486.817	7431.78	SF
155	101	256	Md	87456	7421	Bplus
154	102	256	No	87822.062	7416.546	alpha
153	103	256	Lr	91746.598	7398.16	alpha
152	104	256	Rf	94222.049	7385.434	Bplus
151	105	256	Db	100498	7358	Bplus
158	99	257	Es	89403	7422	SF
157	100	257	Fm	88590.033	7422.194	alpha
156	101	257	Md	88993.053	7417.582	Bplus
155	102	257	No	90247.256	7409.657	alpha
154	103	257	Lr	92665	7397	alpha
153	104	257	Rf	95866.427	7381.704	alpha
152	105	257	Db	100207	7362	Bplus
159	99	258	Es	92702	7412	Bminus
158	100	258	Fm	90426	7418	SF
157	101	258	Md	91686.792	7409.675	alpha
156	102	258	No	91478	7407	SF
155	103	258	Lr	94782	7392	alpha
154	104	258	Rf	96341.036	7382.538	SF
153	105	258	Db	101797	7358	Bplus
152	106	258	Sg	105244	7342	SF
159	100	259	Fm	93704	7407	SF
158	101	259	Md	93624	7405	SF
157	102	259	No	94078.569	7399.974	alpha
156	103	259	Lr	95852	7390	alpha
155	104	259	Rf	98362	7377	alpha
154	105	259	Db	101991.016	7360.362	alpha
153	106	259	Sg	106520	7340	alpha
160	100	260	Fm	95766	7402	SF
159	101	260	Md	96552	7396	SF
158	102	260	No	95612	7397	SF
157	103	260	Lr	98277	7383	alpha
156	104	260	Rf	99147	7377	SF
155	105	260	Db	103673	7357	alpha
154	106	260	Sg	106547.552	7342.562	alpha
153	107	260	Bh	113323	7313	alpha
160	101	261	Md	98578	7391	alpha
159	102	261	No	98455	7388	alpha
158	103	261	Lr	99558	7381	SF
157	104	261	Rf	101318.594	7371.384	alpha
156	105	261	Db	104308	7357	alpha
155	106	261	Sg	108005.043	7339.77	alpha
154	107	261	Bh	113133	7317	alpha
161	101	262	Md	101627	7382	alpha
160	102	262	No	100101	7385	SF
159	103	262	Lr	102102	7374	SF
158	104	262	Rf	102393	7370	SF
157	105	262	Db	106253	7352	alpha
156	106	262	Sg	108365.771	7341.185	SF
155	107	262	Bh	114541	7315	alpha
161	102	263	No	103129	7376	SF
160	103	263	Lr	103729	7371	alpha
159	104	263	Rf	104756	7364	SF
158	105	263	Db	107111	7352	SF
157	106	263	Sg	110190	7337	alpha
156	107	263	Bh	114496	7318	alpha
155	108	263	Hs	119678	7295	alpha
162	102	264	No	105011	7371	alpha
161	103	264	Lr	106377	7363	alpha
160	104	264	Rf	106077	7361	alpha
159	105	264	Db	109362	7346	SF
158	106	264	Sg	110782	7338	alpha
157	107	264	Bh	116058	7315	alpha
156	108	264	Hs	119563.222	7298.375	alpha
162	103	265	Lr	108233	7359	alpha
161	104	265	Rf	108690	7354	SF
160	105	265	Db	110483	7344	SF
159	106	265	Sg	112794	7333	alpha
158	107	265	Bh	116415	7316	alpha
157	108	265	Hs	120900.283	7296.247	alpha
156	109	265	Mt	126678	7271	alpha
163	103	266	Lr	111622	7349	SF
162	104	266	Rf	110076	7352	alpha
161	105	266	Db	112737	7339	SF
160	106	266	Sg	113618	7332	SF
159	107	266	Bh	118104	7313	alpha
158	108	266	Hs	121136.373	7298.273	alpha
157	109	266	Mt	127962	7270	alpha
163	104	267	Rf	113444	7342	x
162	105	267	Db	114074	7336	SF
161	106	267	Sg	115806	7327	x
160	107	267	Bh	118766	7313	alpha
159	108	267	Hs	122653	7295	alpha
158	109	267	Mt	127791	7273	alpha
157	110	267	Ds	133880	7248	alpha
164	104	268	Rf	115476	7337	SF
163	105	268	Db	117062	7328	SF
162	106	268	Sg	116802	7326	alpha
161	107	268	Bh	120807	7308	x
160	108	268	Hs	122830	7298	alpha
159	109	268	Mt	129151	7271	alpha
158	110	268	Ds	133648	7252	alpha
164	105	269	Db	119148	7323	SF
163	106	269	Sg	119763	7318	alpha
162	107	269	Bh	121478	7309	x
161	108	269	Hs	124564	7294	alpha
160	109	269	Mt	129370	7273	x
159	110	269	Ds	134834.709	7250.154	alpha
165	105	270	Db	122307	7314	alpha
164	106	270	Sg	121491	7314	SF
163	107	270	Bh	124226	7301	alpha
162	108	270	Hs	125112	7295	alpha
161	109	270	Mt	130710	7271	alpha
160	110	270	Ds	134678.282	7253.775	alpha
165	106	271	Sg	124757	7305	SF
164	107	271	Bh	125921	7298	alpha
163	108	271	Hs	127740	7288	SF
162	109	271	Mt	131101	7273	alpha
161	110	271	Ds	135948	7252	alpha
166	106	272	Sg	126580	7301	SF
165	107	272	Bh	128789	7290	alpha
164	108	272	Hs	129006	7286	SF
163	109	272	Mt	133581	7267	SF
162	110	272	Ds	136015	7255	SF
161	111	272	Rg	142773	7227	alpha
167	106	273	Sg	130018	7291	SF
166	107	273	Bh	130633	7286	SF
165	108	273	Hs	131890	7279	alpha
164	109	273	Mt	134713	7265	SF
163	110	273	Ds	138356	7249	alpha
162	111	273	Rg	142695	7231	alpha
167	107	274	Bh	133682	7278	alpha
166	108	274	Hs	133486	7276	alpha
165	109	274	Mt	137246	7259	alpha
164	110	274	Ds	139197	7249	SF
163	111	274	Rg	144613	7227	alpha
168	107	275	Bh	135691	7273	SF
167	108	275	Hs	136620	7267	alpha
166	109	275	Mt	138829	7256	alpha
165	110	275	Ds	141565	7244	alpha
164	111	275	Rg	145296	7227	alpha
168	108	276	Hs	138285	7264	SF
167	109	276	Mt	141315	7250	alpha
166	110	276	Ds	142541	7243	alpha
165	111	276	Rg	147486	7222	alpha
164	112	276	Cn	150352	7209	x
169	108	277	Hs	141493	7255	alpha
168	109	277	Mt	142968	7247	SF
167	110	277	Ds	145140	7237	alpha
166	111	277	Rg	148338	7222	alpha
165	112	277	Cn	152403	7205	x
169	109	278	Mt	145736	7240	alpha
168	110	278	Ds	146381	7235	alpha
167	111	278	Rg	150517	7218	alpha
166	112	278	Cn	152932	7206	SF
165	113	278	Nh	158889	7182	alpha
170	109	279	Mt	147496	7237	SF
169	110	279	Ds	149126	7228	SF
168	111	279	Rg	151775	7216	alpha
167	112	279	Cn	155030	7202	alpha
166	113	279	Nh	159239	7184	x
170	110	280	Ds	150520	7226	x
169	111	280	Rg	153886	7212	alpha
168	112	280	Cn	155696	7202	SF
167	113	280	Nh	161140	7180	x
171	110	281	Ds	153431	7219	alpha
170	111	281	Rg	155297	7210	alpha
169	112	281	Cn	158019	7197	alpha
168	113	281	Nh	161810	7181	x
171	111	282	Rg	157800	7204	alpha
170	112	282	Cn	158976	7197	SF
169	113	282	Nh	163725	7177	alpha
172	111	283	Rg	159281	7202	alpha
171	112	283	Cn	161486	7191	alpha
170	113	283	Nh	164707	7177	alpha
172	112	284	Cn	162545	7190	SF
171	113	284	Nh	166591	7173	alpha
170	114	284	Fl	168921	7162	SF
173	112	285	Cn	165173	7184	alpha
172	113	285	Nh	167731	7173	alpha
171	114	285	Fl	171003	7158	alpha
173	113	286	Nh	170014	7168	alpha
172	114	286	Fl	171773	7159	SF
174	113	287	Nh	171245	7167	alpha
173	114	287	Fl	174073	7154	alpha
172	115	287	Ef	177895	7138	alpha
174	114	288	Fl	175042	7154	alpha
173	115	288	Ef	179771	7135	alpha
175	114	289	Fl	177564	7148	alpha
174	115	289	Ef	180666	7135	alpha
173	116	289	Lv	184528	7119	x
175	115	290	Ef	182894	7130	alpha
174	116	290	Lv	185198	7120	alpha
176	115	291	Ef	183990	7130	alpha
175	116	291	Lv	187387	7116	alpha
174	117	291	Eh	191800	7098	alpha
176	116	292	Lv	188242	7116	alpha
175	117	292	Eh	193576	7095	alpha
177	116	293	Lv	190669	7111	alpha
176	117	293	Eh	194385	7095	alpha
175	118	293	Ei	198873	7077	alpha
177	117	294	Eh	196521	7092	alpha
176	118	294	Ei	199463	7079	alpha
177	118	295	Ei	201512	7075	alpha
 
